District,Soil_Type,Season,Crop_Name,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity_Percent,Sunlight_Hours_Per_Day,Yield_kg_per_hectare,Avg_Market_Price_LKR_per_kg
Galle,Latosols,Yala,Mango,29.3,1859,87,6.0,10489,315.8
Colombo,Latosols,Maha,Rubber,28.3,2490,85,6.7,1581,879.77
Jaffna,Regosols,Yala,Cabbage,29.4,544,69,7.6,4000,188.91
Matara,Alluvial Soils,Yala,Potato,27.9,1691,82,6.9,7698,230.61
Hambantota,Reddish Brown Earths,Yala,Maize,31.9,746,76,7.9,3864,138.34
Badulla,Red-Yellow Podzolic Soils,Yala,Brinjal,24.0,1431,82,5.3,13947,157.74
Kilinochchi,Reddish Brown Earths,Yala,Maize,33.9,923,76,7.4,3970,142.72
Mullaitivu,Alluvial Soils,Yala,Tomato,28.4,1320,73,7.6,16343,158.53
Kalutara,Red-Yellow Podzolic Soils,Maha,Big Onion,28.1,3919,93,6.3,23078,242.81
Puttalam,Calcic Red Latosols,Yala,Rubber,28.5,814,71,7.5,1103,750.43
Kurunegala,Reddish Brown Earths,Maha,Maize,28.7,2020,74,6.6,7811,135.82
Colombo,Latosols,Maha,Coconut,27.7,2945,89,6.8,19556,90.36
Badulla,Red-Yellow Podzolic Soils,Maha,Papaya,24.2,2008,80,6.1,41657,118.04
Anuradhapura,Alluvial Soils,Maha,Manioc,33.7,2039,70,8.4,36257,83.76
Mullaitivu,Latosols,Yala,Brinjal,28.9,1398,83,6.7,12354,186.11
Polonnaruwa,Alluvial Soils,Maha,Paddy,32.6,2104,79,8.0,7351,111.64
Polonnaruwa,Alluvial Soils,Maha,Tomato,28.8,1694,73,7.4,21932,145.75
Matara,Red-Yellow Podzolic Soils,Yala,Big Onion,30.2,1687,86,6.1,17879,257.52
Gampaha,Latosols,Maha,Papaya,30.5,2714,84,6.7,43672,118.79
Badulla,Red-Yellow Podzolic Soils,Maha,Banana,24.5,2514,73,5.8,17796,157.16
Vavuniya,Reddish Brown Earths,Maha,Paddy,26.1,1814,68,7.8,6689,121.38
Anuradhapura,Alluvial Soils,Maha,Coconut,26.7,1535,72,7.2,10496,102.71
Mannar,Calcic Red Latosols,Yala,Brinjal,26.2,654,75,8.1,13206,170.18
Kegalle,Red-Yellow Podzolic Soils,Maha,Coconut,27.4,3094,86,6.1,15468,108.44
Mannar,Calcic Red Latosols,Yala,Sweet Potato,28.2,690,72,8.4,14462,115.91
Ampara,Alluvial Soils,Maha,Cabbage,30.6,2034,81,7.5,35495,143.04
Kurunegala,Alluvial Soils,Yala,Brinjal,27.0,1286,71,7.1,13402,174.51
Mannar,Calcic Red Latosols,Yala,Maize,29.7,991,83,8.7,3777,143.43
Kalutara,Red-Yellow Podzolic Soils,Yala,Maize,26.3,2798,88,5.8,3870,130.83
Ratnapura,Red-Yellow Podzolic Soils,Yala,Potato,27.0,2449,81,5.8,19329,180.57
Kurunegala,Reddish Brown Earths,Yala,Rubber,30.7,1448,74,7.3,1210,751.6
Polonnaruwa,Alluvial Soils,Maha,Tea,26.7,1709,76,7.4,271,858.88
Nuwara Eliya,Latosols,Maha,Big Onion,12.2,2458,83,5.2,23497,224.34
Nuwara Eliya,Latosols,Yala,Rubber,12.5,1730,82,4.8,1337,810.02
Kurunegala,Reddish Brown Earths,Yala,Tea,31.8,1530,84,6.7,1607,665.39
Batticaloa,Alluvial Soils,Maha,Sweet Potato,28.4,2091,76,7.8,23766,99.78
Vavuniya,Reddish Brown Earths,Yala,Pumpkin,30.1,1085,73,7.8,21498,95.25
Vavuniya,Reddish Brown Earths,Yala,Beans,31.1,1095,66,7.9,12951,225.18
Colombo,Latosols,Maha,Banana,26.6,2788,80,6.0,30229,158.19
Ampara,Alluvial Soils,Yala,Manioc,32.4,1272,80,8.4,28333,92.18
Hambantota,Reddish Brown Earths,Yala,Papaya,27.4,939,79,8.0,27964,136.77
Trincomalee,Alluvial Soils,Maha,Coconut,32.0,1818,72,7.9,12640,103.99
Anuradhapura,Alluvial Soils,Yala,Banana,31.5,1281,65,8.4,13073,140.06
Matara,Alluvial Soils,Maha,Tomato,27.3,2503,86,6.1,28314,159.59
Matale,Reddish Brown Earths,Maha,Sweet Potato,28.1,1856,75,6.2,20906,114.13
Puttalam,Calcic Red Latosols,Maha,Banana,31.7,1188,77,7.1,17763,147.59
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Potato,12.6,1684,77,5.7,43386,187.19
Anuradhapura,Reddish Brown Earths,Maha,Tea,33.3,1569,66,7.6,284,903.26
Mannar,Calcic Red Latosols,Maha,Chili,29.7,1156,73,8.6,10650,423.38
Colombo,Red-Yellow Podzolic Soils,Maha,Tea,29.1,2895,78,6.2,573,781.9
Jaffna,Calcic Red Latosols,Maha,Potato,30.9,1183,68,8.9,3491,223.84
Trincomalee,Reddish Brown Earths,Maha,Sweet Potato,32.5,1465,72,7.4,19010,106.66
Matale,Reddish Brown Earths,Maha,Tomato,26.4,2241,71,7.5,36537,155.58
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Beans,12.8,2533,76,5.9,31075,267.3
Puttalam,Calcic Red Latosols,Maha,Carrot,27.9,1184,81,7.1,31962,176.72
Vavuniya,Reddish Brown Earths,Yala,Brinjal,29.5,1102,76,7.4,14203,165.13
Kalutara,Red-Yellow Podzolic Soils,Yala,Potato,26.1,2246,90,6.1,7572,251.33
Ampara,Alluvial Soils,Yala,Tea,29.6,1059,75,8.1,1637,649.27
Badulla,Red-Yellow Podzolic Soils,Yala,Chili,22.1,1414,70,6.0,7368,361.63
Batticaloa,Alluvial Soils,Maha,Tea,30.6,2190,76,7.1,2258,693.59
Kalutara,Red-Yellow Podzolic Soils,Yala,Manioc,30.2,2048,88,6.0,17253,97.35
Ratnapura,Red-Yellow Podzolic Soils,Yala,Banana,25.6,2407,89,5.3,13082,149.81
Batticaloa,Regosols,Maha,Paddy,30.6,1972,75,7.4,7357,126.78
Hambantota,Alluvial Soils,Yala,Banana,29.8,720,66,8.0,20710,149.51
Colombo,Red-Yellow Podzolic Soils,Yala,Potato,30.3,1671,85,6.3,8167,221.04
Monaragala,Reddish Brown Earths,Yala,Cabbage,25.6,1416,74,7.7,25074,149.8
Gampaha,Alluvial Soils,Maha,Maize,29.3,2506,80,6.9,5217,126.59
Polonnaruwa,Alluvial Soils,Yala,Chili,31.2,1197,73,7.9,6184,394.41
Puttalam,Calcic Red Latosols,Maha,Coconut,27.5,1082,72,7.6,19361,92.6
Matara,Alluvial Soils,Maha,Manioc,28.1,2721,81,5.9,23416,88.75
Kurunegala,Reddish Brown Earths,Maha,Chili,31.0,2345,83,7.0,9130,425.53
Monaragala,Reddish Brown Earths,Maha,Pumpkin,30.0,1698,74,7.9,25402,90.76
Vavuniya,Reddish Brown Earths,Maha,Paddy,28.4,1790,66,7.1,5725,119.01
Anuradhapura,Alluvial Soils,Maha,Brinjal,31.5,1493,70,7.9,19763,178.16
Mullaitivu,Alluvial Soils,Yala,Beans,30.5,1427,84,7.8,13144,235.47
Vavuniya,Reddish Brown Earths,Yala,Beans,29.7,1147,70,7.8,11143,273.16
Mannar,Regosols,Yala,Papaya,33.7,811,77,9.0,30770,122.46
Colombo,Red-Yellow Podzolic Soils,Yala,Big Onion,30.0,1983,83,5.6,17599,228.27
Kurunegala,Reddish Brown Earths,Yala,Banana,30.8,1539,84,6.2,18360,150.88
Vavuniya,Reddish Brown Earths,Yala,Maize,30.9,985,74,7.0,4108,128.75
Hambantota,Alluvial Soils,Maha,Carrot,29.3,1408,71,7.6,8556,205.93
Galle,Red-Yellow Podzolic Soils,Maha,Papaya,30.8,3045,83,5.1,43300,131.4
Polonnaruwa,Alluvial Soils,Yala,Chili,33.1,1411,69,7.4,6135,366.55
Monaragala,Reddish Brown Earths,Yala,Paddy,31.0,1123,69,7.8,5029,111.19
Mannar,Calcic Red Latosols,Maha,Beans,32.6,1117,74,8.6,14992,238.79
Gampaha,Latosols,Yala,Beans,30.0,1872,89,6.1,14273,256.7
Anuradhapura,Alluvial Soils,Maha,Papaya,30.7,1756,69,8.4,39821,139.04
Kegalle,Latosols,Maha,Maize,25.5,4187,89,6.3,5670,137.59
Kurunegala,Alluvial Soils,Yala,Banana,27.4,1382,73,6.1,22333,158.78
Nuwara Eliya,Latosols,Yala,Rubber,16.6,1896,77,4.8,1312,852.3
Mullaitivu,Alluvial Soils,Yala,Sweet Potato,32.4,1237,74,7.9,13926,102.17
Badulla,Red-Yellow Podzolic Soils,Yala,Chili,20.8,1317,70,6.3,6187,436.86
Galle,Red-Yellow Podzolic Soils,Yala,Manioc,29.8,2158,84,5.7,17677,92.24
Kandy,Reddish Brown Earths,Maha,Tomato,24.1,2385,80,6.0,34020,153.22
Galle,Latosols,Yala,Potato,30.0,1857,84,5.2,8158,247.23
Gampaha,Latosols,Yala,Chili,27.5,1911,77,6.7,7331,363.6
Matara,Red-Yellow Podzolic Soils,Yala,Manioc,30.5,1841,82,5.9,18643,90.36
Kurunegala,Alluvial Soils,Maha,Brinjal,26.6,2275,84,7.5,17827,180.61
Matara,Red-Yellow Podzolic Soils,Maha,Chili,27.0,2860,79,6.4,8330,368.92
Mannar,Calcic Red Latosols,Yala,Carrot,26.2,775,73,8.0,24768,188.71
Hambantota,Alluvial Soils,Yala,Tomato,30.5,943,74,7.2,18205,168.18
Mullaitivu,Alluvial Soils,Maha,Coconut,29.5,1616,83,7.3,12332,97.65
Monaragala,Reddish Brown Earths,Maha,Potato,24.2,1656,75,7.0,26764,215.67
Nuwara Eliya,Latosols,Maha,Manioc,14.0,2251,82,4.6,27856,84.97
Puttalam,Regosols,Yala,Tomato,29.5,1051,73,8.0,17968,154.01
Kegalle,Red-Yellow Podzolic Soils,Yala,Tea,24.4,2388,85,5.0,2463,728.77
Matara,Alluvial Soils,Yala,Sweet Potato,30.1,1621,88,6.0,13657,105.09
Matara,Red-Yellow Podzolic Soils,Maha,Beans,26.9,2616,84,5.9,17277,263.75
Matale,Reddish Brown Earths,Yala,Rubber,28.6,1560,76,7.3,1261,805.18
Galle,Red-Yellow Podzolic Soils,Yala,Tomato,29.3,2153,90,5.3,17355,148.1
Trincomalee,Reddish Brown Earths,Maha,Mango,30.3,1838,65,7.3,17562,275.85
Ratnapura,Red-Yellow Podzolic Soils,Maha,Rubber,24.3,4659,90,5.3,3149,794.91
Colombo,Latosols,Yala,Big Onion,28.0,1800,78,6.5,15915,262.93
Puttalam,Calcic Red Latosols,Maha,Mango,29.2,1216,76,8.0,14586,321.94
Ampara,Reddish Brown Earths,Maha,Carrot,30.8,1715,79,8.2,31562,165.62
Gampaha,Alluvial Soils,Yala,Pumpkin,30.3,1817,78,6.4,33467,101.41
Gampaha,Latosols,Maha,Cabbage,30.2,2708,78,6.7,14115,186.53
Colombo,Latosols,Yala,Potato,27.8,1714,86,6.2,7187,234.46
Vavuniya,Reddish Brown Earths,Yala,Coconut,30.2,1032,68,7.5,8182,103.96
Mullaitivu,Alluvial Soils,Yala,Maize,32.0,1060,80,7.8,3699,139.63
Badulla,Red-Yellow Podzolic Soils,Yala,Maize,22.6,1519,71,5.5,4189,143.79
Anuradhapura,Alluvial Soils,Maha,Potato,32.3,1702,66,7.7,7309,241.44
Vavuniya,Reddish Brown Earths,Maha,Potato,29.0,1542,72,7.7,28065,209.15
Kegalle,Latosols,Yala,Maize,26.9,2578,77,5.4,4042,142.39
Monaragala,Reddish Brown Earths,Maha,Banana,26.7,1617,73,7.2,26104,152.54
Kalutara,Red-Yellow Podzolic Soils,Maha,Cabbage,26.4,3793,81,5.7,33219,148.81
Nuwara Eliya,Latosols,Yala,Potato,16.5,1841,75,5.1,38638,182.31
Hambantota,Reddish Brown Earths,Yala,Big Onion,28.4,893,74,7.2,27992,247.37
Trincomalee,Alluvial Soils,Yala,Papaya,29.7,1355,65,7.1,28992,120.56
Vavuniya,Reddish Brown Earths,Maha,Cabbage,26.1,1483,71,6.9,35685,140.94
Batticaloa,Regosols,Maha,Beans,30.0,2069,76,7.1,16746,256.14
Mullaitivu,Latosols,Maha,Sweet Potato,32.2,2095,78,7.5,20374,120.85
Monaragala,Reddish Brown Earths,Maha,Manioc,33.1,1905,78,7.4,38153,86.89
Kegalle,Red-Yellow Podzolic Soils,Maha,Paddy,24.5,3266,87,5.4,5352,116.88
Kilinochchi,Reddish Brown Earths,Yala,Cabbage,32.5,1155,71,7.7,27845,163.07
Trincomalee,Alluvial Soils,Maha,Chili,30.8,1666,68,8.3,12880,434.65
Ratnapura,Red-Yellow Podzolic Soils,Yala,Big Onion,29.1,3407,82,5.2,15342,230.38
Trincomalee,Reddish Brown Earths,Yala,Manioc,33.5,1023,78,8.0,20223,94.79
Matara,Red-Yellow Podzolic Soils,Maha,Beans,29.5,2934,78,6.6,15323,256.27
Hambantota,Alluvial Soils,Maha,Carrot,31.1,1361,72,8.2,7486,220.71
Hambantota,Alluvial Soils,Maha,Big Onion,28.1,1321,74,7.1,35791,254.91
Mullaitivu,Latosols,Maha,Paddy,26.8,1758,75,8.0,6264,128.81
Jaffna,Calcic Red Latosols,Yala,Pumpkin,27.1,958,77,8.0,19937,106.25
Trincomalee,Reddish Brown Earths,Maha,Chili,30.7,1674,72,8.1,11576,388.11
Colombo,Red-Yellow Podzolic Soils,Maha,Sweet Potato,28.5,2557,85,6.9,23062,112.81
Badulla,Red-Yellow Podzolic Soils,Yala,Manioc,24.0,1654,71,5.7,18707,95.08
Trincomalee,Alluvial Soils,Maha,Pumpkin,27.7,1635,77,8.1,25332,98.3
Ampara,Alluvial Soils,Yala,Pumpkin,32.8,1212,68,7.6,18371,105.17
Colombo,Red-Yellow Podzolic Soils,Yala,Paddy,30.4,1852,87,6.0,5708,116.42
Kurunegala,Alluvial Soils,Maha,Tea,29.6,2037,81,6.8,2287,692.35
Matara,Alluvial Soils,Yala,Chili,27.0,1649,87,7.0,7380,374.26
Kilinochchi,Reddish Brown Earths,Yala,Pumpkin,27.5,1057,68,7.7,20986,91.46
Gampaha,Latosols,Yala,Potato,29.1,1800,86,6.8,7011,242.69
Puttalam,Regosols,Maha,Paddy,30.7,1354,75,7.2,3801,117.84
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Beans,15.8,2460,83,4.6,30940,235.31
Monaragala,Reddish Brown Earths,Yala,Carrot,26.2,1284,79,6.7,23752,169.66
Jaffna,Calcic Red Latosols,Maha,Banana,32.7,1192,66,8.4,20044,157.61
Jaffna,Calcic Red Latosols,Maha,Chili,27.9,1236,70,9.0,14861,404.29
Matale,Reddish Brown Earths,Yala,Papaya,22.2,1301,67,7.0,29472,133.72
Monaragala,Reddish Brown Earths,Maha,Carrot,29.8,1730,65,6.6,32531,195.75
Badulla,Red-Yellow Podzolic Soils,Yala,Brinjal,22.4,1315,78,5.5,14626,167.43
Ratnapura,Red-Yellow Podzolic Soils,Yala,Manioc,24.4,2600,84,5.3,18713,92.65
Kalutara,Red-Yellow Podzolic Soils,Yala,Coconut,26.3,2587,83,6.2,13553,108.12
Monaragala,Reddish Brown Earths,Maha,Paddy,32.6,2064,77,6.6,6648,126.87
Batticaloa,Alluvial Soils,Yala,Cabbage,31.2,1235,82,7.3,29082,144.47
Badulla,Red-Yellow Podzolic Soils,Yala,Beans,18.7,1541,82,5.6,19490,225.03
Colombo,Red-Yellow Podzolic Soils,Maha,Rubber,26.1,2577,76,6.1,1708,821.72
Kurunegala,Reddish Brown Earths,Yala,Big Onion,31.2,1341,79,6.2,15565,254.3
Trincomalee,Reddish Brown Earths,Yala,Paddy,31.1,1352,74,7.2,4650,110.73
Kurunegala,Reddish Brown Earths,Maha,Brinjal,27.0,1835,72,6.2,17299,161.89
Trincomalee,Reddish Brown Earths,Yala,Sweet Potato,29.0,1359,78,8.1,15581,107.88
Kandy,Reddish Brown Earths,Maha,Coconut,24.7,2288,81,6.2,11766,105.97
Batticaloa,Alluvial Soils,Yala,Brinjal,32.7,1268,73,7.6,14033,186.1
Anuradhapura,Alluvial Soils,Maha,Papaya,32.9,1663,62,8.3,40985,128.51
Gampaha,Latosols,Yala,Paddy,29.2,1871,78,6.9,5876,118.58
Hambantota,Alluvial Soils,Yala,Banana,29.8,935,75,8.1,21756,153.82
Badulla,Red-Yellow Podzolic Soils,Yala,Pumpkin,23.7,1625,76,5.4,22318,98.16
Kurunegala,Alluvial Soils,Maha,Banana,32.2,1998,72,7.2,24884,147.29
Mullaitivu,Alluvial Soils,Maha,Potato,31.1,1719,77,6.6,25764,184.4
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Chili,14.2,1770,80,4.9,2445,474.14
Kandy,Reddish Brown Earths,Yala,Banana,24.9,1490,72,6.4,14581,139.68
Badulla,Red-Yellow Podzolic Soils,Yala,Mango,22.0,1307,70,5.8,3568,370.36
Anuradhapura,Reddish Brown Earths,Maha,Tea,27.6,1911,61,8.4,259,899.57
Monaragala,Reddish Brown Earths,Yala,Brinjal,31.5,1217,66,7.8,12829,183.78
Matara,Red-Yellow Podzolic Soils,Maha,Sweet Potato,29.0,2868,87,5.9,19673,103.6
Mullaitivu,Latosols,Yala,Pumpkin,28.7,1416,74,6.5,21678,90.91
Batticaloa,Alluvial Soils,Yala,Big Onion,32.8,1338,75,7.3,16157,220.35
Mannar,Calcic Red Latosols,Yala,Pumpkin,28.5,822,80,8.3,19239,100.37
Gampaha,Latosols,Yala,Coconut,27.7,1764,87,6.5,14135,93.88
Polonnaruwa,Alluvial Soils,Yala,Tomato,28.1,1193,76,6.6,18549,173.08
Puttalam,Calcic Red Latosols,Maha,Rubber,27.4,1513,75,7.3,1541,830.48
Matale,Reddish Brown Earths,Yala,Tea,29.6,1592,71,6.5,1819,667.88
Kalutara,Red-Yellow Podzolic Soils,Yala,Brinjal,28.8,2046,82,5.9,17609,177.67
Batticaloa,Regosols,Maha,Paddy,27.6,1793,81,7.3,6515,127.05
Kegalle,Latosols,Yala,Mango,24.2,2005,79,5.8,9715,326.23
Vavuniya,Reddish Brown Earths,Yala,Cabbage,26.2,1007,71,7.8,29511,159.48
Mannar,Regosols,Maha,Pumpkin,31.2,1262,80,8.4,27513,90.79
Gampaha,Alluvial Soils,Yala,Potato,29.1,1967,88,6.1,7364,242.96
Puttalam,Calcic Red Latosols,Maha,Cabbage,31.2,1442,71,7.9,33222,162.51
Kurunegala,Alluvial Soils,Yala,Sweet Potato,31.1,1213,79,6.6,15223,102.53
Vavuniya,Reddish Brown Earths,Maha,Paddy,26.0,1817,66,7.1,6366,121.88
Colombo,Latosols,Maha,Big Onion,27.0,2733,77,5.7,21715,262.84
Trincomalee,Reddish Brown Earths,Maha,Tea,29.0,1668,77,8.4,2291,756.79
Kurunegala,Reddish Brown Earths,Yala,Maize,26.8,1413,84,7.3,5585,131.6
Kegalle,Latosols,Maha,Carrot,29.7,3891,82,5.1,32972,191.73
Polonnaruwa,Reddish Brown Earths,Yala,Pumpkin,32.7,1379,68,7.5,21456,104.54
Anuradhapura,Alluvial Soils,Maha,Chili,31.6,1771,74,7.8,14553,408.54
Trincomalee,Alluvial Soils,Maha,Beans,33.4,2019,66,7.5,16668,247.86
Batticaloa,Regosols,Yala,Cabbage,32.0,1174,72,7.1,28752,149.16
Matara,Red-Yellow Podzolic Soils,Maha,Potato,28.4,2667,86,6.8,9676,236.38
Anuradhapura,Alluvial Soils,Yala,Chili,28.0,1207,67,7.9,10697,438.64
Matara,Red-Yellow Podzolic Soils,Maha,Beans,26.3,2705,85,6.1,15230,259.74
Gampaha,Latosols,Yala,Manioc,28.3,1821,79,6.7,27437,95.19
Puttalam,Calcic Red Latosols,Yala,Coconut,27.3,1018,72,7.3,12140,101.64
Jaffna,Calcic Red Latosols,Yala,Coconut,32.3,861,68,7.8,8122,105.94
Nuwara Eliya,Latosols,Yala,Tomato,15.8,1678,89,4.9,17358,151.8
Puttalam,Regosols,Yala,Beans,29.7,982,79,7.2,12745,227.85
Kilinochchi,Reddish Brown Earths,Yala,Cabbage,30.9,1049,76,7.9,25478,161.45
Jaffna,Calcic Red Latosols,Yala,Banana,27.0,644,69,8.5,14737,151.04
Vavuniya,Reddish Brown Earths,Maha,Chili,26.9,1782,65,6.7,12989,403.14
Kandy,Reddish Brown Earths,Maha,Chili,27.7,2671,75,5.8,10006,426.96
Kurunegala,Reddish Brown Earths,Maha,Brinjal,26.9,2198,76,6.7,17398,169.17
Puttalam,Regosols,Maha,Papaya,28.4,1311,79,7.5,43099,135.37
Polonnaruwa,Reddish Brown Earths,Maha,Coconut,28.5,2056,70,7.3,11005,92.5
Vavuniya,Reddish Brown Earths,Yala,Tomato,29.5,986,79,7.4,16716,153.76
Kegalle,Red-Yellow Podzolic Soils,Maha,Mango,30.7,3058,86,6.1,14260,290.07
Gampaha,Latosols,Yala,Big Onion,30.5,1714,84,6.9,17604,223.46
Ampara,Reddish Brown Earths,Yala,Papaya,30.2,1379,76,7.6,33106,130.62
Kalutara,Red-Yellow Podzolic Soils,Maha,Brinjal,26.0,3024,87,6.4,27340,177.42
Galle,Latosols,Maha,Tomato,26.8,3019,81,6.4,21913,147.1
Matara,Red-Yellow Podzolic Soils,Yala,Manioc,28.8,1914,75,6.0,19173,87.39
Gampaha,Latosols,Maha,Brinjal,30.5,2957,85,6.9,25824,185.39
Monaragala,Reddish Brown Earths,Yala,Tomato,33.7,1424,70,7.9,17742,174.53
Puttalam,Regosols,Yala,Pumpkin,30.8,1117,74,7.7,20383,91.51
Matara,Alluvial Soils,Maha,Sweet Potato,29.8,2851,82,6.9,21637,99.95
Gampaha,Latosols,Yala,Beans,27.2,1837,77,6.2,15181,233.26
Trincomalee,Alluvial Soils,Maha,Coconut,27.5,1790,70,8.4,15078,105.1
Vavuniya,Reddish Brown Earths,Maha,Manioc,30.2,1763,72,7.7,40398,84.2
Matara,Red-Yellow Podzolic Soils,Maha,Carrot,28.1,2480,78,6.9,12687,230.42
Matara,Red-Yellow Podzolic Soils,Maha,Paddy,28.8,2927,88,6.8,6955,124.97
Kalutara,Red-Yellow Podzolic Soils,Maha,Tea,30.4,3378,94,6.1,3515,714.37
Galle,Red-Yellow Podzolic Soils,Yala,Big Onion,26.4,1790,91,5.7,16095,253.74
Matale,Reddish Brown Earths,Yala,Potato,28.7,1404,77,7.1,18612,193.47
Kalutara,Red-Yellow Podzolic Soils,Maha,Tomato,30.4,3418,87,6.0,23959,150.86
Matara,Alluvial Soils,Maha,Tea,27.9,2677,79,6.6,3282,693.01
Anuradhapura,Reddish Brown Earths,Maha,Carrot,30.0,1875,67,7.2,8187,221.3
Trincomalee,Reddish Brown Earths,Yala,Maize,31.2,1034,67,8.5,4306,153.06
Matara,Alluvial Soils,Yala,Manioc,28.1,1948,84,5.5,18246,81.64
Anuradhapura,Reddish Brown Earths,Maha,Potato,28.2,1831,65,8.3,7098,251.89
Puttalam,Calcic Red Latosols,Maha,Pumpkin,29.7,1404,79,8.0,27738,95.74
Kegalle,Red-Yellow Podzolic Soils,Maha,Tea,29.0,3535,78,5.4,3422,660.27
Jaffna,Regosols,Yala,Tomato,28.7,929,76,8.9,15598,169.1
Matara,Red-Yellow Podzolic Soils,Yala,Rubber,30.8,1660,87,5.7,1957,778.35
Puttalam,Regosols,Maha,Big Onion,29.6,1622,77,7.2,35346,228.2
Badulla,Red-Yellow Podzolic Soils,Maha,Rubber,22.7,2164,81,6.5,1769,848.82
Hambantota,Reddish Brown Earths,Maha,Manioc,27.9,1298,70,7.2,41830,87.83
Hambantota,Alluvial Soils,Maha,Cabbage,30.9,1125,68,8.4,9738,186.37
Batticaloa,Regosols,Yala,Maize,30.8,1478,79,7.1,4099,134.48
Mullaitivu,Alluvial Soils,Yala,Pumpkin,27.3,1170,78,7.6,21057,102.34
Kegalle,Red-Yellow Podzolic Soils,Yala,Tomato,24.3,2769,81,5.1,17103,169.9
Ratnapura,Red-Yellow Podzolic Soils,Maha,Big Onion,29.5,5046,88,5.6,25062,234.54
Kandy,Reddish Brown Earths,Maha,Manioc,21.5,2552,73,5.6,23428,96.14
Colombo,Latosols,Yala,Big Onion,26.8,1962,78,5.7,18447,261.06
Kurunegala,Alluvial Soils,Yala,Carrot,28.0,1465,79,6.5,24991,175.36
Matale,Reddish Brown Earths,Yala,Chili,25.1,1243,73,7.1,7354,383.68
Polonnaruwa,Alluvial Soils,Maha,Chili,27.6,1970,77,7.5,9077,394.13
Matale,Reddish Brown Earths,Maha,Paddy,27.0,2224,72,6.6,6067,111.03
Ampara,Reddish Brown Earths,Yala,Coconut,28.5,1368,70,7.1,8741,90.62
Puttalam,Regosols,Maha,Brinjal,31.9,1313,71,7.7,17820,159.91
Hambantota,Reddish Brown Earths,Maha,Pumpkin,32.6,1340,71,7.6,26405,100.34
Vavuniya,Reddish Brown Earths,Yala,Beans,29.0,1192,77,7.9,12499,252.51
Ampara,Alluvial Soils,Maha,Potato,32.9,1948,72,7.7,25450,208.28
Ampara,Reddish Brown Earths,Yala,Manioc,31.7,1323,72,7.7,28209,83.73
Badulla,Red-Yellow Podzolic Soils,Maha,Maize,24.8,2227,71,5.1,5899,150.75
Anuradhapura,Alluvial Soils,Maha,Maize,32.2,1715,70,7.0,7780,133.68
Batticaloa,Alluvial Soils,Maha,Manioc,26.1,1977,79,7.2,37305,83.08
Ampara,Reddish Brown Earths,Maha,Brinjal,27.2,2032,72,8.0,19453,155.28
Mannar,Calcic Red Latosols,Yala,Sweet Potato,33.8,710,73,8.3,13774,99.02
Trincomalee,Reddish Brown Earths,Yala,Maize,33.5,1268,73,7.0,3773,149.15
Mannar,Regosols,Yala,Banana,28.1,892,82,8.1,13201,137.51
Kandy,Red-Yellow Podzolic Soils,Yala,Tomato,24.1,1566,76,6.2,25785,158.75
Hambantota,Reddish Brown Earths,Maha,Tea,29.4,1377,75,7.4,289,826.06
Anuradhapura,Reddish Brown Earths,Maha,Pumpkin,33.1,1879,66,7.6,25774,103.24
Mannar,Calcic Red Latosols,Yala,Beans,29.2,957,82,8.3,11553,237.88
Polonnaruwa,Alluvial Soils,Maha,Paddy,28.6,1842,78,7.8,8321,131.57
Batticaloa,Alluvial Soils,Maha,Tea,31.1,1683,77,7.1,2260,739.83
Puttalam,Calcic Red Latosols,Yala,Pumpkin,28.9,787,82,7.2,22238,90.83
Kilinochchi,Reddish Brown Earths,Maha,Big Onion,29.6,1796,75,7.6,37727,224.22
Matara,Red-Yellow Podzolic Soils,Maha,Maize,29.1,2709,76,6.4,5620,132.71
Monaragala,Reddish Brown Earths,Yala,Beans,33.6,1414,79,7.8,12672,239.36
Galle,Latosols,Maha,Coconut,28.3,2649,85,5.9,17009,91.47
Vavuniya,Reddish Brown Earths,Maha,Cabbage,28.5,1628,75,7.6,33838,151.62
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Pumpkin,12.9,2224,87,5.1,26279,105.98
Galle,Latosols,Maha,Maize,28.2,2834,83,5.5,5072,146.15
Kilinochchi,Reddish Brown Earths,Maha,Pumpkin,27.1,1595,66,7.8,28478,109.4
Anuradhapura,Reddish Brown Earths,Maha,Tea,33.1,1818,73,8.1,310,905.18
Matara,Red-Yellow Podzolic Soils,Maha,Paddy,28.8,2575,75,5.5,6695,127.39
Polonnaruwa,Reddish Brown Earths,Maha,Tomato,28.6,1921,77,7.8,24986,146.96
Badulla,Red-Yellow Podzolic Soils,Maha,Papaya,18.4,2597,74,5.8,40020,118.8
Polonnaruwa,Alluvial Soils,Maha,Potato,29.5,2149,79,7.3,6982,245.83
Nuwara Eliya,Latosols,Yala,Tea,15.2,1499,77,6.0,2843,648.41
Badulla,Red-Yellow Podzolic Soils,Maha,Banana,22.0,2315,81,6.5,20035,159.88
Polonnaruwa,Reddish Brown Earths,Maha,Chili,28.4,1879,75,7.4,8477,377.1
